OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),Electricity(kWh),ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,Âgebâtiment,out_clas,consumption_rate_Electricity,consumption_rate_Gas,consumption_rate_Steam,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
474,2016,NonResidential,Warehouse,98109.0,1984200035,3,LAKE UNION,1.0,5,127800,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,56.0,22.0,64.69999695,2811924.5,746069.875,Compliant,29.53,0.23,102,Low,High Usage,High Usage,Low Usage,1.0,0.0,127800.0,25560.0
475,2016,NonResidential,Large Office,98109.0,1984200135,3,LAKE UNION,1.0,5,560516,"Office, Parking",Office,71.0,81.59999847,200.6000061,30401640.0,6132058.5,Compliant,632.4,1.13,14,Low,High Usage,High Usage,Low Usage,0.63142,0.36858,560516.0,112103.2
476,2016,NonResidential,Large Office,98109.0,1984200185,3,LAKE UNION,1.0,6,226592,"Office, Parking",Office,49.0,89.80000305,278.0,11812678.0,3434879.5,Compliant,94.64,0.42,15,Low,High Usage,High Usage,Low Usage,0.58074,0.41926,226592.0,37765.333
477,2016,Campus,Other,98109.0,1984200455,3,LAKE UNION,1.0,5,535947,"Other, Parking",Other,,255.8000031,515.5999756,137106112.0,18941222.0,Compliant,3995.45,7.45,19,Low,High Usage,High Usage,Low Usage,1.0,0.0,535947.0,107189.4
480,2016,NonResidential,Mixed Use Property,98109.0,1986200135,7,LAKE UNION,1.0,5,159700,"Office, Other, Parking, Retail Store",Other,,275.10000610000003,655.5,31915486.0,5965944.5,Compliant,726.96,4.55,13,Low,High Usage,High Usage,Low Usage,0.68282,0.31718,159700.0,31940.0
481,2016,NonResidential,Large Office,98109.0,1986200185,7,LAKE UNION,1.0,4,209816,"Fitness Center/Health Club/Gym, Office, Parking, Restaurant",Office,97.0,51.0,135.1999969,6917478.5,1554456.625,Compliant,122.68,0.58,10,Low,High Usage,High Usage,Low Usage,0.64887,0.35113,209816.0,52454.0
482,2016,NonResidential,Large Office,98109.0,1986200215,7,LAKE UNION,1.0,6,303103,"Bank Branch, Office, Parking",Office,97.0,40.90000153,123.90000149999999,7554767.0,2094799.75,Compliant,69.59,0.23,10,Low,High Usage,High Usage,Low Usage,0.6374,0.3626,303103.0,50517.167
484,2016,NonResidential,Mixed Use Property,98109.0,1986200380,7,LAKE UNION,1.0,3,67380,"Non-Refrigerated Warehouse, Office, Other, Other - Entertainment/Public Assembly, Parking",Non-Refrigerated Warehouse,66.0,46.79999924,99.19999695,3066491.25,459033.0938,Compliant,74.1,1.1,62,Low,High Usage,High Usage,Low Usage,1.0,0.0,67380.0,22460.0
487,2016,NonResidential,Laboratory,98109.0,1988201480,7,LAKE UNION,1.0,4,102235,Laboratory,Laboratory,,241.5,559.7000122000001,24903228.0,4500367.5,Compliant,587.16,5.74,53,Low,High Usage,High Usage,Low Usage,1.0,0.0,102235.0,25558.75
488,2016,NonResidential,Mixed Use Property,98109.0,1988201485,7,LAKE UNION,1.0,5,436497,"Laboratory, Office, Parking",Laboratory,,180.1999969,427.6000061000001,47629656.0,8790355.0,Compliant,1019.53,2.34,8,Low,High Usage,High Usage,Low Usage,0.64792,0.35208,436497.0,87299.4
494,2016,NonResidential,Medical Office,98105.0,1145000200,4,NORTHEAST,1.0,4,196749,"Medical Office, Parking",Medical Office,5.0,182.0,416.2999878,19718338.0,3430113.5,Compliant,477.87,2.43,28,Low,High Usage,High Usage,Low Usage,0.55067,0.44933,196749.0,49187.25
